dim,impl,H,W,D,num_data_points,stride,dilation,padding,kernel_size,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier,optimal_fmax,comments
1D,Multicore Optimized,1024,1,1,1024,32,1,0,32,2753,0.06611941074770449,0.38436448665423817,0.45157377779888286,173,134,1196.875,7936,
1D,Multicore Optimized,1024,1,1,1024,64,2,0,64,2788,0.05954942010200973,0.37379816714635017,0.4344237815875528,170,107,1251.875,8064,
1D,Multicore Optimized,1024,1,1,1024,64,3,0,64,2850,0.05825360248556283,0.365664179457569,0.42497055789166616,172,77,1316.875,8064,
1D,Multicore Optimized,1024,1,1,1024,64,1,32,64,3213.875,0.10362949955771558,0.30589128359649326,0.41169908172235414,175,158,,,
3D,Multicore Optimized,4,4,4,64,1,1,0,64,966,0.2168253563274735,0.07054604894865166,0.28944628906873254,102,74,187.375,504,
3D,Multicore Optimized,4,4,8,128,1,1,0,64,870.5,0.2407183195177687,0.07831983601535059,0.3213416801218061,146,138,262.375,1008,
3D,Multicore Optimized,4,8,8,256,1,1,0,64,849.5,0.2466999168736101,0.08026600166222721,0.3293266832906087,204,225,397.375,2016,
3D,Multicore Optimized,8,8,8,512,1,1,0,64,849.5,0.2466999168736101,0.08026600166222721,0.3293266832906087,288,348,667.375,4032,
3D,Multicore Optimized,8,8,16,1024,1,1,0,64,849.5,0.2466999168736101,0.08026600166222721,0.3293266832906087,449,533,1207.375,8064,
3D,Multicore Optimized,8,16,16,2048,1,1,0,64,849.5,0.2466999168736101,0.08026600166222721,0.3293266832906087,929,1723,14,16128,
3D,Multicore Optimized,16,16,16,4096,1,1,0,64,849.5,0.2466999168736101,0.08026600166222721,0.3293266832906087,1755,4189,14,32256,
