dim,impl,H,W,D,num_data_points,stride,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier
3D,Multicore Optimized,8,8,16,1024,64,8171.625,0.252458923,0.129472562,0.385847479,277,298,1215.5
1D,Multicore Unoptimized,2048,1,1,2048,64,31202.625,0.350523394,0.189992035,0.607176493,1130,633,42.125
1D,Multicore Optimized,2048,1,1,2048,64,5302.125,0.121083869,0.393051065,0.515832372,1797,863,42.125
2D,Multicore Optimized,32,64,1,2048,64,5985.625,0.115944498,0.348155365,0.465603468,1676,907,49.125
3D,Multicore Optimized,8,16,16,2048,64,15729.625,0.271398589,0.134523274,0.40999062,1860,757,48.125
1D,Multicore Unoptimized,4096,1,1,4096,64,61038.625,0.357417116,0.194274518,0.619845202,1094,1305,42.125
1D,Multicore Optimized,4096,1,1,4096,64,9015.125,0.151523283,0.462445509,0.616630987,1669,3956,42.125
2D,Multicore Optimized,64,64,1,4096,64,9615.75,0.155786243,0.433559979,0.59184213,1465,3605,49.125
3D,Multicore Optimized,16,16,16,4096,64,29314.625,0.288320155,0.144398926,0.437085503,1823,2174,48.125
2D,Multicore Unoptimized,8,8,1,64,64,1602.625,0.336566204,0.113019568,0.490145443,48,212,193.5
2D,Multicore Unoptimized,8,16,1,128,64,2785.625,0.353739769,0.128788899,0.529197293,52,192,268.5
2D,Multicore Unoptimized,16,16,1,256,64,5144.625,0.365406341,0.139587881,0.555532552,54,193,403.5
2D,Multicore Unoptimized,16,32,1,512,64,9849.625,0.372463618,0.145716295,0.570973843,79,187,673.5
2D,Multicore Unoptimized,32,32,1,1024,64,19131.625,0.378528969,0.149941487,0.582830722,116,199,1218.5
2D,Multicore Unoptimized,32,64,1,2048,64,37538.625,0.384284171,0.152799312,0.592493081,2206,274,56.125
2D,Multicore Unoptimized,64,64,1,4096,64,72550.625,0.396497253,0.158077554,0.611914079,1889,699,56.125
3D,Multicore Unoptimized,4,4,4,64,64,1931.375,0.45150021,0.03313763,0.519782028,115,287,185.375
3D,Multicore Unoptimized,4,4,8,128,64,3246.375,0.490704192,0.039120815,0.572757078,121,255,257.375
3D,Multicore Unoptimized,4,8,8,256,64,5838.375,0.519666115,0.043334064,0.610273655,139,269,390.375
3D,Multicore Unoptimized,8,8,8,512,64,11001.375,0.537569529,0.045903379,0.633478065,181,299,665.375
3D,Multicore Unoptimized,8,8,16,1024,64,21277.375,0.548657995,0.04742127,0.647812563,259,312,1210.375
3D,Multicore Unoptimized,8,16,16,2048,64,41568.125,0.565264449,0.048504232,0.666410084,1881,616,39
3D,Multicore Unoptimized,16,16,16,4096,64,81273.625,0.578342596,0.049622495,0.682012444,1804,1760,39
1D,Multicore Unoptimized,64,1,1,64,1,1364.625,0.299817767,0.137129118,0.484580948,43,165,185.25
1D,Multicore Unoptimized,128,1,1,128,1,61249.625,0.360269565,0.196774683,0.626024263,39,146,325.25
1D,Multicore Unoptimized,256,1,1,256,1,179409.625,0.364328277,0.19935385,0.633605912,39,218,590.25
1D,Multicore Unoptimized,512,1,1,512,1,416021.625,0.365300722,0.200006429,0.635459754,39,252,1125.25
1D,Multicore Optimized,64,1,1,64,1,781.125,0.231747113,0.087065214,0.321373068,140,179,188.25
1D,Multicore Optimized,128,1,1,128,1,5589.375,0.045085398,0.756242098,0.80186423,167,379,328.25
1D,Multicore Optimized,256,1,1,256,1,14177.375,0.026803241,0.88499947,0.912014315,164,758,605
1D,Multicore Optimized,512,1,1,512,1,31359.375,0.02028101,0.930726019,0.951102694,162,1492,1123.25
