prec,impl,M,N,K,cycles_grad_B,total_ipc_grad_B,fpss_fpu_occupancy_grad_B,cycles_grad_A,total_ipc_grad_A,fpss_fpu_occupancy_grad_A
32,MULTICORE_OPT,4,4,4,784,0.5918367346938775,0.1479591836734694,292,0.5136986301369862,0.07876712328767123
32,MULTICORE_OPT,4,4,4,784,0.5918367346938775,0.1479591836734694,292,0.5136986301369862,0.07876712328767123
32,MULTICORE_OPT,8,8,8,491,0.5173116089613035,0.219959266802444,336,0.5922619047619048,0.17857142857142858
32,MULTICORE_OPT,8,8,8,491,0.5173116089613035,0.219959266802444,336,0.5922619047619048,0.17857142857142858
32,MULTICORE_OPT,16,16,16,918,0.6132897603485838,0.4400871459694989,671,0.8733233979135618,0.5394932935916542
32,MULTICORE_OPT,32,32,32,4867,0.7020752003287446,0.6451612903225806,3168,0.9482323232323232,0.7784090909090909
32,MULTICORE_OPT,64,64,64,35885,0.7120802563745298,0.692099763132228,22024,0.8986560116236832,0.8195604794769342
32,MULTICORE_OPT,96,96,96,119349,0.7118031990213575,0.6998299105983292,62869,0.9982026117800504,0.9391273918783504
64,MULTICORE_OPT,4,4,4,483,0.5921325051759834,0.05175983436853002,351,0.5270655270655271,0.07977207977207977
64,MULTICORE_OPT,4,4,4,483,0.5921325051759834,0.05175983436853002,351,0.5270655270655271,0.07977207977207977
64,MULTICORE_OPT,6,6,6,650,0.6984615384615385,0.07538461538461537,501,0.6147704590818364,0.10379241516966067
64,MULTICORE_OPT,8,8,8,443,0.5688487584650113,0.18510158013544006,417,0.6091127098321343,0.2038369304556355
64,MULTICORE_OPT,8,8,8,443,0.5688487584650113,0.18510158013544006,417,0.6091127098321343,0.2038369304556355
64,MULTICORE_OPT,10,10,10,930,0.7956989247311828,0.2612903225806452,936,0.8002136752136753,0.26495726495726496
64,MULTICORE_OPT,12,12,12,1410,0.8652482269503546,0.2404255319148936,715,0.806993006993007,0.4839160839160839
64,MULTICORE_OPT,14,14,14,2011,0.9010442565887616,0.2242665340626554,1255,0.8597609561752988,0.3649402390438247
64,MULTICORE_OPT,16,16,16,996,0.8152610441767069,0.5833333333333334,1019,0.8272816486751717,0.577036310107949
64,MULTICORE_OPT,16,16,16,996,0.8152610441767069,0.5833333333333334,1019,0.8272816486751717,0.577036310107949
64,MULTICORE_OPT,18,18,18,2275,0.922197802197802,0.4778021978021978,2313,0.9265023778642456,0.4742758322524859
64,MULTICORE_OPT,20,20,20,3386,0.9456585942114591,0.3919078558771412,1799,0.9410783768760422,0.7448582545858811
64,MULTICORE_OPT,24,24,24,2368,0.9315878378378378,0.7947635135135135,2384,0.9580536912751678,0.7948825503355704
64,MULTICORE_OPT,32,32,32,5136,0.9380841121495328,0.8506619937694704,5479,0.905457200219018,0.8012411023909473
64,MULTICORE_OPT,32,32,32,5136,0.9380841121495327,0.8506619937694704,5479,0.9054572002190181,0.8012411023909473
64,MULTICORE_OPT,64,64,64,36411,0.964708467221444,0.92985636208838,40115,0.8901657734014707,0.8458182724666583
