,0_start,0_snitch_issues,0_tstart,0_snitch_loads,0_snitch_load_latency,0_snitch_fseq_offloads,0_end_fpss,0_fpss_issues,0_fpss_fpu_issues,0_fpss_fpu_latency,0_snitch_stores,0_fpss_loads,0_fpss_load_latency,0_tend,0_end,0_snitch_avg_load_latency,0_snitch_occupancy,0_snitch_fseq_rel_offloads,0_fseq_yield,0_fseq_fpu_yield,0_fpss_section_latency,0_fpss_avg_fpu_latency,0_fpss_avg_load_latency,0_fpss_occupancy,0_fpss_fpu_occupancy,0_fpss_fpu_rel_occupancy,0_cycles,0_total_ipc
0,12,780,0.0,69,1171,184,4422,376,296,808,29,64,112,0.0,4974,16.971014492753625,0.15716300624622204,0.1908713692946058,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07576062865202499,0.05964134596010478,0.7872340425531915,4963,0.23292363489824702
1,14,775,0.0,69,1458,184,4431,376,296,808,28,64,112,0.0,4969,21.130434782608695,0.15637610976594027,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07586763518966909,0.05972558514931396,0.7872340425531915,4956,0.23224374495560934
2,17,775,0.0,69,1493,184,4432,376,296,808,28,64,112,0.0,4969,21.63768115942029,0.15647082576216434,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07591358772461135,0.05976176054916212,0.7872340425531915,4953,0.2323844134867757
3,20,775,0.0,69,1548,184,4441,376,296,808,28,64,112,0.0,4969,22.434782608695652,0.15656565656565657,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07595959595959596,0.0597979797979798,0.7872340425531915,4950,0.23252525252525252
4,22,775,0.0,69,1592,184,4442,376,296,808,28,64,112,0.0,4969,23.07246376811594,0.15662894098625707,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07599029911075182,0.05982215036378335,0.7872340425531915,4948,0.2326192400970089
5,25,775,0.0,69,1651,184,4451,376,296,808,28,64,112,0.0,4969,23.92753623188406,0.15672396359959556,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07603640040444894,0.05985844287158746,0.7872340425531915,4945,0.23276036400404448
6,28,775,0.0,69,1680,184,4452,376,296,808,28,64,112,0.0,4969,24.347826086956523,0.1568191015783084,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07608255766895994,0.05989477944152165,0.7872340425531915,4942,0.23290165924726833
7,30,775,0.0,69,1678,184,4461,376,296,808,28,64,112,0.0,4969,24.318840579710145,0.15688259109311742,0.19186652763295098,2.0434782608695654,2.0434782608695654,0,2.72972972972973,1.75,0.07611336032388664,0.05991902834008097,0.7872340425531915,4940,0.23299595141700408
8,33,1368,0.0,157,2253,32,239,32,32,32,38,0,0,0.0,4969,14.35031847133758,0.2770913510228884,0.022857142857142857,1.0,1.0,0,1.0,0.0,0.006481669029775167,0.006481669029775167,1.0,4937,0.28357302005266355
